GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!5472B!RF!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Zotren ODT!1186771000168109!Zotren ODT 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!GQ!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Ondansetron ODT GH!793381000168109!Ondansetron ODT (GH) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!TX!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!APO-Ondansetron ODT!1402441000168106!Ondansetron ODT (Apo) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!HX!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Ondansetron SZ ODT!740501000168105!Ondansetron ODT (SZ) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!DO!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Zilfojim ODT 4!697961000168103!Zilfojim ODT 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!EA!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Ondansetron AN ODT!655461000168105!Ondansetron ODT (AN) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!RZ!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Ondansetron ODT-DRLA!7301000036102!Ondansetron ODT (DRLA) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5472B!AF!!21545011000036100!ondansetron!69111000036108!ondansetron 4 mg orally disintegrating tablet, 10!Ondansetron Mylan ODT!1156591000168109!Ondansetron ODT (Mylan) 4 mg orally disintegrating tablet, 10!!10!8.53!8.53!0.00
GE!5297T!IS!!52800011000036105!triptorelin!922603011000036103!triptorelin 22.5 mg injection [1 vial] (&) inert substance diluent [2 mL ampoule], 1 pack!Diphereline!921475011000036106!Diphereline (1 x 22.5 mg vial, 1 x 2 mL inert diluent ampoule), 1 pack!!1!1690.87!1690.87!
GE!5027N!PF!!39429011000036100!benzathine benzylpenicillin!1276251000168101!benzathine benzylpenicillin tetrahydrate 1.2 million units (1016.6 mg)/2.3 mL injection, 10 x 2.3 mL syringes!Bicillin L-A!1276261000168104!Bicillin L-A 1.2 million units (1016.6 mg)/2.3 mL injection, 10 x 2.3 mL syringes!!10!263.73!263.73!
GE!3112T!AG!!21375011000036101!prednisolone acetate + phenylephrine!26995011000036103!prednisolone acetate 1% + phenylephrine hydrochloride 0.12% eye drops, 10 mL!Prednefrin Forte!12226011000036102!Prednefrin Forte eye drops, 10 mL!!1!15.69!15.69!
GE!3062E!AF!!21768011000036103!pindolol!26933011000036106!pindolol 5 mg tablet, 100!Barbloc 5!12123011000036106!Barbloc 5 mg tablet, 100!!100!19.42!19.42!
GE!5061J!BQ!!933240151000036106!apixaban!933236721000036100!apixaban 2.5 mg tablet, 60!Eliquis!933236711000036107!Eliquis 2.5 mg tablet, 60!!60!76.11!76.11!
GE!3114X!AS!!21381011000036106!vancomycin!26881011000036105!vancomycin 250 mg capsule, 20!Vancocin!12053011000036103!Vancocin 250 mg capsule, 20!!40!193.28!193.28!
GE!3051N!TX!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!APO-Perindopril!87439011000036103!Perindopril Erbumine (Apo) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!TY!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Perindopril APOTEX!1252321000168104!Perindopril (Apotex) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!JB!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!BTC Perindopril!1253551000168106!Perindopril (BTC) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!SZ!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Idaprex 4!933225671000036104!Idaprex 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!AF!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Perindo!11687011000036107!Perindo 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!IB!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Blooms the Chemist Perindopril!691031000168103!Perindopril Erbumine (Blooms The Chemist) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!EF!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Perindopril AN!827821000168100!Perindopril (AN) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!RW!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Indosyl Mono 4!109451000036107!Indosyl Mono 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!GQ!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Perindopril generichealth!926134011000036106!Perindopril (Generic Health) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!3051N!ED!!21362011000036102!perindopril!26807011000036103!perindopril erbumine 4 mg tablet, 30!Perindopril Actavis 4!175391000036104!Perindopril Erbumine (Actavis) 4 mg tablet, 30!!30!2.66!2.66!0.00
GE!5136H!SW!!21856011000036108!ketoprofen!27096011000036104!ketoprofen 200 mg modified release capsule, 28!Orudis SR 200!12258011000036104!Orudis SR 200 mg modified release capsule, 28!!28!10.26!12.04!
GE!5136H!AV!!21856011000036108!ketoprofen!27096011000036104!ketoprofen 200 mg modified release capsule, 28!Oruvail SR!12390011000036100!Oruvail SR 200 mg modified release capsule, 28!!28!10.26!10.26!0.00
GE!5091Y!AL!!21623011000036108!flucloxacillin!27677011000036101!flucloxacillin 500 mg capsule, 24!Flopen!12940011000036104!Flopen 500 mg capsule, 24!!24!8.08!8.08!
GE!5091Y!TX!!21623011000036108!flucloxacillin!27677011000036101!flucloxacillin 500 mg capsule, 24!APO-Flucloxacillin!712541000168104!Flucloxacillin (Apo) 500 mg capsule, 24!!24!8.08!8.08!
GE!5091Y!AF!!21623011000036108!flucloxacillin!27677011000036101!flucloxacillin 500 mg capsule, 24!Staphylex 500!13101011000036105!Staphylex 500 mg capsule, 24!!24!8.08!8.08!
GE!5290K!UJ!!920818011000036107!eletriptan!920863011000036103!eletriptan 40 mg tablet, 4!Relpax!920446011000036107!Relpax 40 mg tablet, 4!!4!14.09!14.09!
GE!5237P!MF!!21252011000036100!morphine!26628011000036100!morphine hydrochloride trihydrate 2 mg/mL oral liquid, 200 mL!Ordine 2!11385011000036109!Ordine 2 mg/mL oral liquid, 200 mL!!1!9.06!9.06!
GE!5298W!AG!!21861011000036105!brimonidine!922602011000036105!brimonidine tartrate 0.15% eye drops, 5 mL!Alphagan P 1.5!921474011000036107!Alphagan P 0.15% eye drops, 5 mL!!1!11.10!11.10!
GE!5461K!FD!!21351011000036101!mesalazine!924190011000036104!mesalazine 1 g suppository, 30!Salofalk!923410011000036104!Salofalk 1 g suppository, 30!!30!89.26!89.26!
GE!3436W!JC!!84416011000036108!golimumab!84636011000036100!golimumab 50 mg/0.5 mL injection, 0.5 mL syringe!Simponi!84004011000036107!Simponi 50 mg/0.5 mL injection, 0.5 mL syringe!!1!1160.48!1160.48!
GE!5057E!BZ!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Clindamycin BNM!718311000168105!Clindamycin (BNM) 150 mg capsule, 24!!24!6.39!6.39!
GE!5057E!AF!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Clindamyk!731311000168105!Clindamyk 150 mg capsule, 24!!24!6.39!6.39!
GE!5057E!TX!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!APO-Clindamycin!678961000168105!Clindamycin (Apo) 150 mg capsule, 24!!24!6.39!6.39!
GE!5057E!LV!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Clindamycin LU!1240211000168104!Clindamycin (LU) 150 mg capsule, 24!!24!6.39!6.39!
GE!5057E!RW!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Calindamin!707761000168108!Calindamin 150 mg capsule, 24!!24!6.39!6.39!
GE!5057E!PF!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Dalacin C!32336011000036105!Dalacin C 150 mg capsule, 24!!24!6.39!6.39!
GE!5205Y!AV!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!Stemzine!13216011000036100!Stemzine 5 mg tablet, 25!!25!0.90!0.90!0.00
GE!5205Y!EA!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!Prochlorperazine AN!658201000168100!Prochlorperazine Maleate (AN) 5 mg tablet, 25!!25!0.90!0.90!0.00
GE!5205Y!GQ!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!Prochlorperazine GH!933224901000036102!Prochlorperazine Maleate (GH) 5 mg tablet, 25!!25!0.90!0.90!0.00
GE!5205Y!SW!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!Stemetil!12262011000036107!Stemetil 5 mg tablet, 25!!25!0.90!3.69!
GE!5205Y!RW!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!ProCalm!923378011000036101!Procalm 5 mg tablet, 25!!25!0.90!0.90!0.00
GE!5205Y!TX!!21262011000036105!prochlorperazine!27626011000036100!prochlorperazine maleate 5 mg tablet, 25!APO-Prochlorperazine!923381011000036102!Prochlorperazine Maleate (Apo) 5 mg tablet, 25!!25!0.90!0.90!0.00
GE!5292M!TX!!13801000144101!olmesartan medoxomil + amlodipine!922572011000036109!olmesartan medoxomil 20 mg + amlodipine 5 mg tablet, 30!Olmesartan/Amlodipine 20/5 APOTEX!476691000144103!Olmesartan/Amlodipine 20/5 (Apotex) tablet: film-coated, 30!!30!4.66!4.66!
GE!5292M!RW!!13801000144101!olmesartan medoxomil + amlodipine!922572011000036109!olmesartan medoxomil 20 mg + amlodipine 5 mg tablet, 30!OLMEKAR!481631000144101!Olmekar 20/5 film-coated tablet, 30!!30!4.66!4.66!
GE!5292M!AL!!13801000144101!olmesartan medoxomil + amlodipine!922572011000036109!olmesartan medoxomil 20 mg + amlodipine 5 mg tablet, 30!Sevikar 20/5!921444011000036106!Sevikar 20/5 tablet, 30!!30!4.66!4.66!
GE!5292M!CR!!13801000144101!olmesartan medoxomil + amlodipine!922572011000036109!olmesartan medoxomil 20 mg + amlodipine 5 mg tablet, 30!Pharmacor Olmesartan Amlodipine 20/5!495121000144109!Olmesartan/Amlodipine 20/5 (Pharmacor) tablet: film-coated, 30!!30!4.66!4.66!
GE!5292M!AF!!13801000144101!olmesartan medoxomil + amlodipine!922572011000036109!olmesartan medoxomil 20 mg + amlodipine 5 mg tablet, 30!Olmesartan/Amlodipine - MYL 20/5!415451000144105!Olmesartan/Amlodipine 20/5 (Mylan) tablet: film-coated, 30!!30!4.66!4.66!
GE!5262Y!NV!!933232161000036109!fingolimod!933224611000036109!fingolimod 500 microgram capsule, 28!Gilenya!933224601000036107!Gilenya 500 microgram capsule, 28!!28!2058.29!2058.29!
GE!5126T!AF!!21301011000036107!indometacin!27794011000036105!indometacin 25 mg capsule, 50!Arthrexin!12131011000036107!Arthrexin 25 mg capsule, 50!!100!2.60!2.60!0.00
GE!5126T!AS!!21301011000036107!indometacin!27794011000036105!indometacin 25 mg capsule, 50!Indocid!13535011000036107!Indocid 25 mg capsule, 50!!100!2.60!4.48!
GE!5052X!CR!!21474011000036106!cefuroxime!27187011000036105!cefuroxime 250 mg tablet, 14!Pharmacor Cefuroxime!952031000168100!Cefuroxime (Pharmacor) 250 mg tablet, 14!!14!9.38!9.38!
GE!5258R!LN!!21623011000036108!flucloxacillin!27045011000036101!flucloxacillin 250 mg/5 mL powder for oral liquid, 100 mL!Flucil!932885011000036106!Flucil 250 mg/5 mL powder for oral liquid, 100 mL!!1!8.56!8.56!
GE!3107M!DX!!50745011000036101!glucose and ketone indicator urine!51568011000036106!glucose and ketone indicator urine diagnostic strip, 50!Keto-Diastix!49709011000036102!Keto-Diastix diagnostic strip, 50!!2!3.62!3.62!
GE!5195K!YN!!21259011000036105!oxycodone!26891011000036109!oxycodone hydrochloride 5 mg tablet, 20!Mayne Pharma Oxycodone IR!718461000168103!Oxycodone IR (Mayne Pharma) 5 mg tablet, 20!!20!1.81!1.81!0.00
GE!5195K!AF!!21259011000036105!oxycodone!26891011000036109!oxycodone hydrochloride 5 mg tablet, 20!Endone!12066011000036101!Endone 5 mg tablet, 20!!20!1.81!3.67!
GE!5195K!AL!!21259011000036105!oxycodone!26891011000036109!oxycodone hydrochloride 5 mg tablet, 20!Oxycodone Aspen!708991000168103!Oxycodone (Aspen) 5 mg tablet, 20!!20!1.81!1.81!0.00
GE!3012M!AS!!21261011000036104!potassium chloride + potassium bicarbonate + potassium carbonate!28045011000036108!potassium chloride 595 mg + potassium bicarbonate 384 mg + potassium carbonate 152 mg (total potassium 14 mmol) effervescent tablet, 60!Chlorvescent!13334011000036106!Chlorvescent effervescent tablet, 60!!60!11.50!11.50!
GE!5460J!NV!!61712011000036107!amlodipine + valsartan!925436011000036101!amlodipine 10 mg + valsartan 320 mg tablet, 28!Exforge 10/320!924838011000036100!Exforge 10/320 tablet, 28!!28!12.32!15.11!
GE!5460J!NM!!61712011000036107!amlodipine + valsartan!925436011000036101!amlodipine 10 mg + valsartan 320 mg tablet, 28!Valsartan/Amlodipine Novartis 320/10!1117001000168102!Amlodipine/Valsartan 10/320 (Novartis) tablet, 28!!28!12.32!12.32!0.00
GE!5118J!PF!!21524011000036102!hydrocortisone sodium succinate!1334841000168102!hydrocortisone (as sodium succinate) 100 mg injection [1 chamber] (&) inert substance diluent [2 mL chamber], 1 dual chamber vial!Solu-Cortef!1334851000168100!Solu-Cortef Act-O-Vial (1 x 100 mg chamber, 1 x 2 mL inert diluent chamber), 1 dual chamber vial!!6!4.56!4.56!
GE!5103N!JC!!34837011000036104!paliperidone!925421011000036109!paliperidone 75 mg modified release injection, 1 syringe!Invega Sustenna!924815011000036103!Invega Sustenna 75 mg modified release injection, 1 syringe!!1!269.35!269.35!
GE!3440C!NV!!21277011000036101!methylphenidate!84646011000036101!methylphenidate hydrochloride 10 mg modified release capsule, 30!Ritalin LA!84033011000036101!Ritalin LA 10 mg modified release capsule, 30!!30!20.15!20.15!
GE!5194J!FF!!21259011000036105!oxycodone!26892011000036103!oxycodone 30 mg suppository, 12!Proladone!12067011000036103!Proladone 30 mg suppository, 12!!12!30.09!30.09!
GE!5037D!NV!!21319011000036108!carbamazepine!27101011000036101!carbamazepine 400 mg modified release tablet, 200!Tegretol CR 400!12406011000036106!Tegretol CR 400 mg modified release tablet, 200!!200!35.44!35.44!
GE!5261X!TX!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!APO-Roxithromycin!74270011000036102!Roxithromycin (Apo) 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!SZ!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Roxithromycin Sandoz!933223381000036106!Roxithromycin (Sandoz) 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!ED!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Roxithromycin-GA!79502011000036100!Roxithromycin (GA) 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!RW!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Roxar 300!11454011000036109!Roxar 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!AF!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Roximycin!14351011000036105!Roximycin 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!AV!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Biaxsig!12585011000036108!Biaxsig 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5261X!SW!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Rulide!12391011000036107!Rulide 300 mg tablet, 5!!5!2.31!4.45!
GE!5261X!EA!!21724011000036103!roxithromycin!28341011000036107!roxithromycin 300 mg tablet, 5!Roxithromycin AN!669741000168108!Roxithromycin (AN) 300 mg tablet, 5!!5!2.31!2.31!0.00
GE!5265D!AF!!21258011000036102!fentanyl!26685011000036103!fentanyl 12 microgram/hour patch, 5!Denpax!933204121000036104!Denpax 12 microgram/hour patch, 5!!5!7.87!7.87!
GE!3132W!AS!!21541011000036102!oxazepam!32769011000036106!oxazepam 15 mg tablet, 25!Serepax!11269011000036101!Serepax 15 mg tablet, 25!!25!1.32!1.32!
GE!3321T!RW!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!Doxsig!12994011000036102!Doxsig 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!3321T!EA!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!Doxycycline AN!666701000168101!Doxycycline (AN) 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!3321T!AF!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!Doxylin 100!13069011000036100!Doxylin 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!3360W!AF!!21370011000036105!phenoxymethylpenicillin!27495011000036102!phenoxymethylpenicillin 250 mg tablet, 25!Aspecillin VK!842441000168108!Aspecillin VK 250 mg tablet, 25!!50!1.98!1.98!
GE!5289J!NV!!922033011000036102!amlodipine + valsartan + hydrochlorothiazide!922595011000036107!amlodipine 10 mg + valsartan 320 mg + hydrochlorothiazide 25 mg tablet, 28!Exforge HCT 10/320/25!921467011000036107!Exforge HCT 10/320/25 tablet, 28!!28!15.14!17.93!
GE!5289J!NM!!922033011000036102!amlodipine + valsartan + hydrochlorothiazide!922595011000036107!amlodipine 10 mg + valsartan 320 mg + hydrochlorothiazide 25 mg tablet, 28!Valsartan/Amlodipine/HCT Novartis 320/10/25!1117121000168107!Amlodipine/Valsartan/HCT 10/320/25 (Novartis) tablet, 28!!28!15.14!15.14!0.00
GE!3450N!PF!!21347011000036107!etanercept!898001000168109!etanercept 50 mg/mL injection, 4 x 1 mL pen devices!Enbrel!898011000168107!Enbrel Auto-Injector 50 mg/mL injection, 4 x 1 mL pen devices!!1!939.25!939.25!
GE!3432P!JC!!84416011000036108!golimumab!84636011000036100!golimumab 50 mg/0.5 mL injection, 0.5 mL syringe!Simponi!84004011000036107!Simponi 50 mg/0.5 mL injection, 0.5 mL syringe!!1!1160.48!1160.48!
GE!5105Q!NO!!33634011000036104!glucagon hydrochloride!33803011000036101!glucagon hydrochloride 1 mg injection [1 vial] (&) inert substance diluent [1 mL syringe], 1 pack!GlucaGen Hypokit!33322011000036103!Glucagen Hypokit (1 x 1 mg vial, 1 x 1 mL inert diluent syringe), 1 pack!!1!35.01!35.01!
GE!5082L!TX!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!APO-Doxycycline!918851000168109!Doxycycline (Apo) 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!5082L!HX!!21784011000036108!doxycycline!27888011000036102!doxycycline 100 mg tablet, 7!Doxycycline Sandoz!123141000036108!Doxycycline (Sandoz) 100 mg tablet, 7!!7!1.36!1.36!0.00
GE!3048K!AF!!21475011000036105!pyrantel!26930011000036103!pyrantel 250 mg tablet, 6!Anthel 250!12120011000036103!Anthel 250 mg tablet, 6!!6!10.75!10.75!
GE!3103H!RW!!21461011000036103!trimethoprim + sulfamethoxazole!26949011000036105!trimethoprim 40 mg/5 mL + sulfamethoxazole 200 mg/5 mL oral liquid, 100 mL!Septrin!30581011000036103!Septrin Sugar Free oral liquid, 100 mL!!1!7.72!7.72!
GE!3415R!NV!!86202011000036103!vildagliptin!86446011000036107!vildagliptin 50 mg tablet, 60!Galvus!85742011000036103!Galvus 50 mg tablet, 60!!60!45.13!45.13!
GE!3339R!AF!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Metrogyl 200!12138011000036103!Metrogyl 200 mg tablet, 21!!21!1.18!1.18!0.00
GE!3339R!AV!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Metronide 200!13136011000036108!Metronide 200 mg tablet, 21!!21!1.18!1.18!0.00
GE!3339R!SW!!21482011000036106!metronidazole!27574011000036101!metronidazole 200 mg tablet, 21!Flagyl!12248011000036101!Flagyl 200 mg tablet, 21!!21!1.18!3.04!
GE!3128P!SB!!50747011000036106!medium chain triglycerides!51425011000036102!medium chain triglycerides oral oil, 500 mL!MCT Oil!49464011000036107!MCT oral oil, 500 mL!!2!15.66!15.66!
GE!3374N!PF!!21237011000036104!promethazine!26909011000036104!promethazine hydrochloride 50 mg/2 mL injection, 5 x 2 mL ampoules!DBL Promethazine Hydrochloride!12098011000036104!Promethazine Hydrochloride (DBL) 50 mg/2 mL injection, 5 x 2 mL ampoules!!10!10.97!10.97!
GE!5083M!AF!!21381011000036106!vancomycin!27498011000036108!vancomycin 1 g injection, 1 vial!Vancomycin Alphapharm!921425011000036107!Vancomycin (Alphapharm) 1 g powder for injection, 1 vial!!1!7.50!7.50!
GE!5083M!PF!!21381011000036106!vancomycin!27498011000036108!vancomycin 1 g injection, 1 vial!DBL Vancomycin Hydrochloride!13024011000036108!Vancomycin (DBL) 1 g powder for injection, 1 vial!!1!7.50!7.50!
GE!3138E!AF!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Clindamyk!731311000168105!Clindamyk 150 mg capsule, 24!!48!6.39!6.39!
GE!3138E!BZ!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Clindamycin BNM!718311000168105!Clindamycin (BNM) 150 mg capsule, 24!!48!6.39!6.39!
GE!3138E!RW!!21255011000036108!clindamycin!32788011000036101!clindamycin 150 mg capsule, 24!Calindamin!707761000168108!Calindamin 150 mg capsule, 24!!48!6.39!6.39!
